Billed_Qty,Product_MRP,Offtake_unit,Product_Cost,Profit_Margin,Category
4,250,1,103.5,565.3,A
2,1065,1,700,562,A
20,1168.07,10,792.62,560.6712,A
24,754.38,10,465.37,559.59744,A
60,386.61,10,262.34,556.7352,A
60,386.61,10,262.34,556.7352,A
7,159,1,71.92,549.1472,A
200,575,100,269.5,546.32,A
3,650,1,417.86,545.9904,A
2,330,1,49,544.36,A
2,330,1,49,544.36,A
2,316,1,42.14,543.506,A
3,290,1,104.95,539.4075,A
150,222.5,15,150.98,534.024,A
300,73.7,10,47.47,530.562,A
2,1056,1,706,530.56,A
2,1056,1,706,530.56,A
150,129.4,15,68.43,527.584,A
6,366,1,248.36,527.0208,A
21,313.5,3,212.73,526.6968,A
300,195,30,127.37,523.456,A
1,2640,1,1891.4,521.632,A
1,2640,1,1891.4,521.632,A
1,2640,1,1891.4,521.632,A
60,362,10,245.64,521.2992,A
10,132.3,1,71.82,518.616,A
4,250,1,115,517,A
1,963.8,1,400,515.8,A
10,122.85,1,64.12,510.356,A
60,525.74,15,356.75,504.72,A
6,350,1,237.5,504,A
1,2345,1,1646.4,501.032,A
1,2345,1,1646.4,501.032,A
1,2345,1,1646.4,501.032,A
1,2345,1,1646.4,501.032,A
1,2345,1,1646.4,501.032,A
1,2345,1,1646.4,501.032,A
2,810,1,500,500,A
50,622,10,466.5,497.6,A
3,820,1,584.25,496.92,A
6,690,2,468.22,496.7808,A
6,690,2,468.22,496.7808,A
3,819,1,622.44,496.314,A
2,1029.1,1,698.32,493.9632,A
60,399,10,284.29,483.5712,A
6,396,1,267.51,482.0292,A
60,400,10,285.71,480.0288,A
60,400,10,285.71,480.0288,A
2,1000,1,678.58,479.9808,A
3,427.79,1,256.5,475.395,A
4,494,1,335.22,474.2144,A
6,329,1,223.25,473.76,A
6,328.5,1,222.91,473.0448,A
9,170,1,104.87,472.9104,A
3,774.4,1,588.54,469.299,A
1,1953.06,1,1325.29,468.7352,A
30,651,10,441.75,468.72,A
50,277,10,163.93,466.992,A
20,754.38,10,465.37,466.3312,A
20,754.38,10,465.37,466.3312,A
150,230.01,15,164.29,460.052,A
3,750,1,534.38,454.4832,A
90,624,30,423.44,449.2416,A
7,265,1,179.83,445.1328,A
2,820,1,535,441.6,A
60,301,15,170.21,441.4592,A
6,306.5,1,197.41,441.3372,A
6,306.5,1,197.41,441.3372,A
2,799,1,518.83,435.8208,A
60,302,10,194.51,434.8692,A
60,295,10,190,424.8,A
2,884.1,1,599.92,424.3792,A
3,250,1,103.5,423.975,A
30,384,10,217.15,422.376,A
90,292,15,198.14,420.4992,A
2,957,1,712.01,418.779,A
60,290.4,10,197.06,418.1568,A
3,500,1,322.03,417.9792,A
3,580,1,373.56,417.5976,A
400,43.5,10,29.52,417.504,A
10,1195,10,697.12,414.2256,A
30,575,10,390.17,414.0288,A
1,1147,1,655.01,413.3888,A
3,573.52,1,415.12,412.932,A
3,573.52,1,415.12,412.932,A
1,1710.5,1,1101.53,410.6946,A
4,280,1,158.33,410.6816,A
90,190,10,128.92,410.4864,A
10,55,1,12.57,409.216,A
4,425.64,1,288.83,408.6016,A
60,280,10,189.81,404.4768,A
60,280,10,189.81,404.4768,A
5,400,1,285,404,A
5,400,1,285,404,A
480,34.27,15,19.38,402.0608,A
90,278.65,15,189.09,401.2152,A
200,600,50,446.25,400.8,A
30,449,10,281.61,400.7904,A
30,575,10,394.28,400.2192,A
60,223.42,10,139.95,400.056,A
4,416.34,1,282.51,399.7152,A
4,416.34,1,282.51,399.7152,A
2,600,1,357.7,398.752,A
2,600,1,357.7,398.752,A
2,600,1,357.7,398.752,A
2,600,1,357.7,398.752,A
2,600,1,357.7,398.752,A
90,129,7,87.53,398.1394286,A
90,120,10,64.4,396.072,A
150,165,15,111.97,395.936,A
150,165,15,111.97,395.936,A
1,1649,1,1062.07,395.7574,A
30,794.6,14,544.87,395.0262857,A
4,425.64,1,291.87,394.9824,A
15,1639,15,1112.17,393.3696,A
15,1639,15,1112.17,393.3696,A
3,4095,5,3276,393.12,A
4,408.8,1,277.4,392.448,A
2,1635,1,1284.64,392.4064,A
2,1635,1,1284.64,392.4064,A
5,159,1,71.91,392.304,A
1,1942,1,1475.92,392.284,A
1,1942,1,1475.92,392.284,A
60,192,10,107.34,392.0328,A
100,163,10,110.61,391.168,A
5,300,1,198.41,388.904,A
180,89.9,10,61,388.44,A
8,202,1,137.08,387.7632,A
2,1615,1,1268.93,387.5968,A
1,1603,1,1087.75,384.72,A
1,1603,1,1087.75,384.72,A
50,318.05,10,215.82,381.658,A
6,265,1,179.83,381.5424,A
90,265,15,179.83,381.5424,A
60,132.36,5,89.81,381.2736,A
30,527,10,339.43,379.4178,A
14,135,1,96.43,377.9776,A
30,622,10,443.18,376.9152,A
30,622,10,443.18,376.9152,A
30,622,10,443.18,376.9152,A
15,313.5,3,212.73,376.212,A
100,188,10,143.24,375.98,A
1,1549,1,1047.76,375.5088,A
24,651,10,441.75,374.976,A
10,77,1,35.28,374.864,A
2,899,1,603.12,374.6368,A
60,309,10,220.16,374.5248,A
10,474.05,4,289.51,374.497,A
10,474.05,4,289.51,374.497,A
90,260,15,176.42,374.4576,A
150,155,15,105.17,372.096,A
60,258,10,175.08,371.4624,A
42,146.9,4,99.68,370.2132,A
30,399,10,233.62,369.9852,A
1,1530,1,985.43,367.1926,A
1,840,1,450.8,366.66,A
60,254.6,10,172.77,366.5856,A
40,380,10,257.86,364.7872,A
40,380,10,257.86,364.7872,A
1,1849,1,1325.9,363.992,A
50,302,10,194.51,362.391,A
15,1561,15,1070.4,362.152,A
20,754.38,10,511.91,362.0816,A
20,754.38,10,511.91,362.0816,A
60,251.2,10,170.46,361.7088,A
105,215,15,145.89,361.2224,A
30,500,10,339.28,360.0192,A
2,750,1,483.05,360.002,A
1,1500,1,966.1,360.002,A
2,520,1,303.59,359.9584,A
1,1499,1,1017.19,359.7472,A
12,129.2,1,88.6,359.616,A
3,593,1,422.51,359.3664,A
3,593,1,422.51,359.3664,A
1,1494,1,962.24,358.5568,A
1,1494,1,962.24,358.5568,A
180,120,10,84.82,358.4232,A
60,248.5,10,168.63,357.8064,A
60,248.5,10,168.63,357.8064,A
3,494,1,335.22,355.6608,A
6,102,1,38.22,355.1616,A
2,738.85,1,501.36,354.6536,A
2,738.85,1,501.36,354.6536,A
360,190,60,116.88,354.5664,A
30,318.05,10,179.85,349.854,A
15,754.38,10,465.36,349.7652,A
2,520,1,308.7,348.512,A
1,2090,1,1555.06,348.3328,A
1,1450,1,933.9,347.998,A
1,1450,1,933.9,347.998,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
10,600,10,225.4,347.552,A
1,732,1,367.5,346.125,A
60,240,10,162.86,345.5808,A
51,277,15,156.64,345.31488,A
80,179.38,10,121.72,344.4288,A
60,239,10,162.17,344.2176,A
100,215,15,145.89,344.0213333,A
100,215,15,145.89,344.0213333,A
1,1430,1,921.02,343.1964,A
60,277,15,170.88,342.4576,A
60,277,15,170.88,342.4576,A
60,237,10,160.83,341.2224,A
60,244.65,10,167.76,340.5528,A
1,1725,1,1236.99,339.5712,A
2,705,1,478.39,338.4064,A
4,351.2,1,238.32,337.1264,A
50,280,10,189.81,337.064,A
50,280,10,189.81,337.064,A
1,1400,1,901.69,336.0058,A
4,348,1,236.14,334.0928,A
4,347.5,1,235.81,333.5712,A
4,347.5,1,235.81,333.5712,A
4,347.5,1,235.81,333.5712,A
30,694.19,15,502.46,333.214,A
30,694.19,15,502.46,333.214,A
30,694.19,15,502.46,333.214,A
14,990,10,671.78,332.64896,A
14,990,10,671.78,332.64896,A
2,820,1,584.25,331.28,A
4,690,2,468.22,331.1872,A
4,690,2,468.22,331.1872,A
2,689.35,1,467.77,330.8952,A
2,819,1,622.44,330.876,A
2,819,1,622.44,330.876,A
10,142.15,1,97.48,329.724,A
60,228.25,10,154.88,328.7064,A
45,456.56,15,309.82,328.6848,A
120,170.75,15,115.87,327.8048,A
30,455,10,308.75,327.6,A
1,1360,1,922.86,326.3968,A
1,1360,1,922.86,326.3968,A
1,1360,1,922.86,326.3968,A
1,1360,1,922.86,326.3968,A
60,338,15,217.69,324.5032,A
1,1350,1,869.5,323.99,A
30,449,10,304.67,323.3088,A
5,269,1,182.53,322.832,A
60,448,20,324.26,322.581,A
60,448,20,324.26,322.581,A
30,350.26,15,168.87,322.2512,A
30,694.19,15,507.75,322.105,A
20,807,10,547.61,321.6404,A
360,37.19,10,25.23,321.5664,A
1,1385,1,949.72,321.3136,A
2,794,1,603.44,320.776,A
30,445,10,286.62,320.3652,A
60,319.39,15,228.14,319.372,A
3,290,1,163.99,318.9936,A
3,290,1,163.99,318.9936,A
10,613.14,10,263.04,318.5352,A
1,1326,1,899.78,318.2464,A
5,265,1,179.83,317.952,A
4,331.1,1,224.68,317.8336,A
2,820,1,590.4,317.504,A
90,220.5,15,149.63,317.4864,A
36,146.9,4,99.68,317.3256,A
2,427.79,1,256.5,316.93,A
90,220.08,15,149.34,316.9152,A
2,176,1,15.68,316.8768,A
2,176,1,15.68,316.8768,A
2,176,1,15.68,316.8768,A
2,176,1,15.68,316.8768,A
40,330,10,223.92,316.8384,A
4,660,2,447.86,316.7936,A
30,440,10,298.58,316.7712,A
4,330,1,223.96,316.6592,A
30,658.52,15,446.85,316.096,A
30,658.52,15,446.85,316.096,A
30,658.52,15,446.85,316.096,A
45,438.7,15,297.69,315.8616,A
4,329,1,223.25,315.84,A
20,658,10,446.5,315.84,A
4,328.5,1,222.91,315.3632,A
4,328.5,1,222.91,315.3632,A
4,328.5,1,222.91,315.3632,A
4,328.5,1,222.91,315.3632,A
4,328.5,1,222.91,315.3632,A
4,328.5,1,222.91,315.3632,A
4,327.5,1,222.23,314.4096,A
4,327.5,1,222.23,314.4096,A
4,327.5,1,222.23,314.4096,A
4,327.5,1,222.23,314.4096,A
4,327.5,1,222.23,314.4096,A
150,130.45,15,88.52,313.076,A
2,774.4,1,588.54,312.866,A
2,750,1,503.18,312.4952,A
60,325.34,15,220.77,312.3104,A
70,92.92,10,43.14,312.2224,A
5,309,1,220.16,312.104,A
4,325,1,220.53,312.0256,A
4,325,1,220.53,312.0256,A
30,650,15,441.08,311.9808,A
30,650,15,441.08,311.9808,A
20,671,10,460.12,311.3312,A
70,185,10,125.53,310.8448,A
150,129.4,15,87.8,310.64,A
60,153.1,10,90.54,310.1712,A
5,310,1,236.19,310.0025,A
1,1290,1,830.85,309.597,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,695,1,367.5,309.125,A
1,2575,2,1747.33,308.9952,A
1,2575,2,1747.33,308.9952,A
1,2575,2,1747.33,308.9952,A
20,643,10,436.33,308.6208,A
1,715,1,387.1,308.545,A
1,715,1,387.1,308.545,A
1,715,1,387.1,308.545,A
60,257,10,183.57,308.4096,A
60,213,10,144.53,306.7584,A
60,213,10,144.53,306.7584,A
60,213,10,144.53,306.7584,A
3,425.64,1,288.83,306.4512,A
2,635,1,430.89,304.8064,A
30,277,10,148.68,304.6728,A
1,1268,1,816.68,304.3176,A
1,1268,1,816.68,304.3176,A
75,253.25,15,171.86,303.834,A
1,1264.5,1,814.43,303.4726,A
1,1264.5,1,814.43,303.4726,A
1,1290,1,881.22,303.0336,A
1,1290,1,881.22,303.0336,A
1,1290,1,881.22,303.0336,A
1,1290,1,881.22,303.0336,A
2,750,1,507.21,302.9844,A
1,729.06,1,380.56,302.8328,A
1,729.06,1,380.56,302.8328,A
1,729.06,1,380.56,302.8328,A
3,420,1,270.5,302.43,A
42,840,28,570,302.4,A
180,105,15,71.25,302.4,A
65,293.7,20,179.37,301.6182,A
3,418,1,283.64,300.9696,A
100,575,100,245,300.6,A
100,575,100,245,300.6,A
33,379,10,257.17,300.19968,A
8,474.05,4,289.51,299.5976,A
60,624,30,423.45,299.472,A
60,311.9,15,211.65,299.408,A
30,277,10,150.24,299.1504,A
60,415,20,300.38,298.803,A
30,415,10,281.61,298.7904,A
60,247.5,15,154.29,298.7808,A
60,247.5,15,154.29,298.7808,A
99,575,100,245,297.594,A
4,310,1,210.36,297.5872,A
28,309.6,7,210.08,297.2416,A
5,102,1,38.22,295.968,A
8,154,1,104.5,295.68,A
60,205,10,139.11,295.1808,A
30,250,10,135.71,294.0144,A
50,244.65,10,166.01,293.594,A
1,1264.5,1,823,293.36,A
98,180.6,14,123.84,293.2944,A
1,1375,1,965.87,293.2256,A
1,1375,1,965.87,293.2256,A
1,1375,1,965.87,293.2256,A
1,1375,1,965.87,293.2256,A
1,1375,1,965.87,293.2256,A
1,1450,1,1102,292.9,A
1,1450,1,1102,292.9,A
1,1375,1,966.23,292.8224,A
1,1375,1,966.23,292.8224,A
60,199,15,112.53,291.8656,A
30,243,6,164.89,291.616,A
1,1440,1,1094.4,290.88,A
6,202,1,137.08,290.8224,A
60,175,15,91.43,290.3936,A
28,1210,28,821.08,290.3904,A
28,1210,28,821.08,290.3904,A
30,157.05,10,53.85,290.214,A
60,201.15,10,136.5,289.62,A
30,402.15,10,272.89,289.5396,A
30,402.15,10,272.89,289.5396,A
1,1200,1,772.88,288.0016,A
1,1200,1,772.88,288.0016,A
50,240,10,162.86,287.984,A
20,599,10,385.8,287.512,A
20,599,10,385.8,287.512,A
3,399.16,1,270.85,287.424,A
60,299.1,15,202.96,287.1392,A
2,598.08,1,405.84,287.0784,A
50,239.22,10,162.33,287.052,A
45,395.98,15,286.62,285.087,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
1,675,1,372.4,283.98,A
60,197,10,133.67,283.7376,A
1,1181,1,801.39,283.4432,A
1,1181,1,801.39,283.4432,A
1,1181,1,801.39,283.4432,A
2,700,1,498.75,282.8,A
120,147.07,15,99.8,282.352,A
90,135.25,10,92.75,282.33,A
1,632,1,333.2,282.14,A
1,632,1,333.2,282.14,A
2,587,1,398.33,281.7408,A
90,148.59,15,90.75,281.7,A
90,148.59,15,90.75,281.7,A
30,1350,30,905.35,281.687,A
1,1170,1,753.54,280.8228,A
40,351,10,250.71,280.8192,A
2,585,1,396.97,280.7872,A
60,292,15,198.14,280.3328,A
200,105,15,75,280,A
20,600,10,411.43,278.3968,A
1,750,1,421.4,278.032,A
200,57.7,10,39.15,277.04,A
60,298.5,15,204.69,276.9888,A
60,288.5,15,195.77,276.9504,A
2,265,1,107.51,276.2764,A
20,575,10,390.17,276.0192,A
1,1149.5,1,740.35,275.887,A
2,375,1,201.27,275.0028,A
2,572.25,1,388.31,274.6856,A
2,572.25,1,388.31,274.6856,A
2,572.25,1,388.31,274.6856,A
25,228.85,5,155.29,274.626,A
9,127,1,86.17,274.4064,A
30,571,15,413.3,274.07,A
70,163,10,110.61,273.8176,A
60,190,10,122.37,273.6204,A
60,190,10,122.37,273.6204,A
30,380,10,257.86,273.5904,A
30,380,10,257.86,273.5904,A
120,142.5,15,96.7,273.568,A
60,185,10,118.18,273.2856,A
60,569.3,30,386.31,273.2656,A
100,575,100,269.5,273.16,A
100,575,100,269.5,273.16,A
100,575,100,269.5,273.16,A
1,330,1,49,272.18,A
1,330,1,49,272.18,A
1,330,1,49,272.18,A
1,330,1,49,272.18,A
1,330,1,49,272.18,A
1,330,1,49,272.18,A
70,242.85,15,164.79,271.9976,A
1,316,1,42.14,271.753,A
1,1170,1,761.49,271.4418,A
1,1350,1,914.85,270.477,A
4,109,1,39.45,270.31,A
2,559.45,1,379.63,268.5288,A
2,559.45,1,379.63,268.5288,A
2,559.45,1,379.63,268.5288,A
45,372.2,15,252.57,267.9648,A
30,385,10,264,267.96,A
40,279,10,189.33,267.8016,A
60,278.65,15,189.09,267.4768,A
30,371,10,251.75,267.12,A
30,371,10,251.75,267.12,A
30,371,10,251.75,267.12,A
40,223.42,10,139.95,266.704,A
6,185,1,125.53,266.4384,A
30,370,10,238.31,266.3826,A
70,158.38,10,107.47,266.0952,A
30,444,10,301.28,265.4688,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
1,999,1,655.46,264.8848,A
4,356,4,81.37,264.8656,A
4,356,4,81.37,264.8656,A
30,146.9,4,99.68,264.438,A
6,77,1,29.4,264.432,A
6,77,1,29.4,264.432,A
1,1100,1,746.42,264.0096,A
1,1100,1,746.42,264.0096,A
1,1100,1,746.42,264.0096,A
90,189.45,15,129.91,263.7048,A
60,182.9,10,124.11,263.3808,A
60,182.9,10,124.11,263.3808,A
1,1096.5,1,744.05,263.164,A
1,1096.5,1,744.05,263.164,A
30,365,10,235.09,262.7814,A
7,129,1,81.7,262.472,A
45,437.35,15,312.39,262.4196,A
15,935,15,600.53,262.4064,A
1,747,1,433.9,261.032,A
30,110,10,20.58,260.8512,A
1,1059.96,1,714.15,260.112,A
1,1059.96,1,714.15,260.112,A
1,1059.96,1,714.15,260.112,A
6,137,1,83.67,259.7376,A
6,137,1,83.67,259.7376,A
6,137,1,83.67,259.7376,A
30,360.5,10,244.63,259.5432,A
30,360.5,10,244.63,259.5432,A
30,360.5,10,244.63,259.5432,A
75,146.08,15,84.1,259.44,A
1,1080,1,695.59,259.2038,A
1,1080,1,695.59,259.2038,A
4,270,1,183.22,259.1744,A
2,250,1,115,258.5,A
2,250,1,115,258.5,A
4,269,1,182.53,258.2656,A
4,269,1,182.53,258.2656,A
50,186,10,120,258,A
30,448.5,15,304.34,257.886,A
30,370,10,240.82,257.4972,A
30,370,10,240.82,257.4972,A
1,1089,1,792,257.4,A
1,1089,1,792,257.4,A
1,1089,1,792,257.4,A
40,276.76,10,189.78,256.8256,A
1,1064,1,722,255.36,A
2,530,1,402.8,254.4,A
1,1096.5,1,751.88,254.3944,A
4,265,1,179.83,254.3616,A
4,265,1,179.83,254.3616,A
4,265,1,179.83,254.3616,A
100,105.95,10,71.9,254.22,A
90,176.13,15,119.52,253.6056,A
4,264.09,1,179.21,253.4992,A
40,395.98,15,286.62,253.4106667,A
20,527,10,339.43,252.9452,A
20,527,10,339.43,252.9452,A
30,525.74,15,356.75,252.36,A
30,525.74,15,356.75,252.36,A
30,1050.75,30,713.01,252.1788,A
30,1050.75,30,713.01,252.1788,A
75,210,15,142.5,252,A
30,350,10,237.5,252,A
1,289,1,35.28,251.956,A
1,289,1,35.28,251.956,A
30,350,10,225.44,251.9424,A
60,262.4,15,178.06,251.8912,A
3,348,1,236.14,250.5696,A
30,521,15,353.53,250.0928,A
4,132.3,1,62.33,249.9616,A
40,390.25,15,264.81,249.7674667,A
60,269,15,184.45,249.664,A
30,346.75,10,235.3,249.642,A
1,1040,1,705.72,249.5936,A
1,1040,1,705.72,249.5936,A
30,519.09,15,352.24,249.1624,A
100,103.6,10,70.3,248.64,A
20,518,10,351.5,248.64,A
3,675,1,501.88,248.3448,A
30,225.3,10,127.4,247.836,A
45,343.05,15,232.79,246.9756,A
1,1029,1,662.75,246.955,A
20,149,10,22.79,246.9504,A
20,399,10,233.62,246.6568,A
2,513.16,1,348.21,246.3296,A
60,170.3,10,115.56,245.2368,A
30,99.5,10,15.93,244.9752,A
60,198,15,122.14,244.8128,A
60,170,10,115.36,244.7808,A
1,1055,1,723.42,244.7696,A
100,102,10,69.22,244.736,A
100,102,10,69.22,244.736,A
100,102,10,69.22,244.736,A
30,430,10,311.24,244.2336,A
1,1015,1,688.75,243.6,A
1,1015,1,688.75,243.6,A
1,1015,1,688.75,243.6,A
1,1015,1,688.75,243.6,A
1,700,1,407.68,243.3984,A
1,700,1,407.68,243.3984,A
30,274,10,172.36,242.8704,A
30,399,10,284.29,241.7856,A
30,503,15,341.33,241.4208,A
60,201,10,143.57,241.2096,A
45,334.9,15,227.25,241.14,A
30,259,10,151.65,240.159,A
30,259,10,151.65,240.159,A
30,259,10,151.65,240.159,A
20,500,10,322.03,240.0092,A
2,593,1,422.51,239.5776,A
2,499,1,321.39,239.5196,A
1,1240,1,893.6,239.168,A
10,44,1,17.97,238.736,A
10,44,1,17.97,238.736,A
30,360,10,237.66,238.6836,A
20,515,10,353.39,238.4064,A
10,990,10,671.78,237.6064,A
10,990,10,671.78,237.6064,A
3,660,2,447.86,237.5952,A
90,165,15,111.97,237.5616,A
1,989,1,636.98,237.3636,A
2,494,1,335.22,237.1072,A
4,102,1,38.22,236.7744,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
1,1049,1,725.35,236.608,A
3,328.5,1,222.91,236.5224,A
3,328.5,1,222.91,236.5224,A
60,246.27,15,167.11,236.4272,A
1,984.75,1,668.22,236.3436,A
40,246,10,166.92,236.1984,A
1,983,1,667.03,235.9264,A
120,122.63,15,83.21,235.4784,A
5,120.05,1,65.17,235.298,A
60,169,10,115.88,235.2864,A
2,490,1,315.59,235.2076,A
1,980,1,631.19,235.1958,A
1,980,1,631.19,235.1958,A
6,163.35,1,110.85,235.188,A
10,228.85,5,99.37,235.1112,A
45,253.25,15,156.23,234.8172,A
45,253.25,15,156.23,234.8172,A
60,244.5,15,165.91,234.7232,A
60,244.5,15,165.91,234.7232,A
40,160,10,85.87,234.6936,A
1,977,1,662.97,234.4736,A
1,977,1,662.97,234.4736,A
1,977,1,662.97,234.4736,A
10,228.5,5,99.37,234.4112,A
15,651,10,441.75,234.36,A
1,1174,1,796.64,233.9648,A
60,211.5,15,136.68,233.6736,A
60,211.5,15,136.68,233.6736,A
40,243.3,10,165.09,233.5968,A
2,486.1,1,329.86,233.3136,A
24,243,6,164.89,233.2928,A
24,243,6,164.89,233.2928,A
10,754.38,10,465.36,233.1768,A
10,754.38,10,465.36,233.1768,A
10,754.38,10,465.36,233.1768,A
10,754.38,10,465.37,233.1656,A
10,754.38,10,465.37,233.1656,A
10,754.38,10,465.37,233.1656,A
10,754.38,10,465.37,233.1656,A
10,754.38,10,465.37,233.1656,A
10,754.38,10,465.37,233.1656,A
10,754.38,10,465.37,233.1656,A
80,242.84,20,164.79,233.1008,A
50,194,10,131.64,232.816,A
1,970,1,658.22,232.7936,A
3,400,1,288,232.32,A
20,50,1,32.54,232.056,A
75,193.08,15,131.01,231.744,A
1,550,1,284.2,231.696,A
1,550,1,284.2,231.696,A
1,550,1,284.2,231.696,A
1,965,1,621.53,231.5946,A
10,964,10,620.88,231.3616,A
